Year,State,Administrative district,Sex,Value
2016,Sabah,Lahad Datu,Male,1851
2016,Sabah,Lahad Datu,Female,1668
2017,Sabah,Lahad Datu,Male,1754
2017,Sabah,Lahad Datu,Female,1791
2018,Sabah,Lahad Datu,Male,1931
2018,Sabah,Lahad Datu,Female,1748
2019,Sabah,Lahad Datu,Male,1853
2019,Sabah,Lahad Datu,Female,1791
2020,Sabah,Lahad Datu,Male,1697
2020,Sabah,Lahad Datu,Female,1606
2021,Sabah,Lahad Datu,Male,1448
2021,Sabah,Lahad Datu,Female,1369
2015,Sabah,Semporna,Male,1692
2015,Sabah,Semporna,Female,1538
2016,Sabah,Semporna,Male,1667
2016,Sabah,Semporna,Female,1471
2017,Sabah,Semporna,Male,1677
2017,Sabah,Semporna,Female,1588
2018,Sabah,Semporna,Male,1779
2018,Sabah,Semporna,Female,1586
2019,Sabah,Semporna,Male,1705
2019,Sabah,Semporna,Female,1665
2020,Sabah,Semporna,Male,1656
2020,Sabah,Semporna,Female,1477
2021,Sabah,Semporna,Male,1437
2021,Sabah,Semporna,Female,1312
2015,Sabah,Sandakan,Male,2932
2015,Sabah,Sandakan,Female,2656
2016,Sabah,Sandakan,Male,2864
2016,Sabah,Sandakan,Female,2567
2017,Sabah,Sandakan,Male,2624
2017,Sabah,Sandakan,Female,2540
2018,Sabah,Sandakan,Male,2806
2018,Sabah,Sandakan,Female,2608
2019,Sabah,Sandakan,Male,2828
2019,Sabah,Sandakan,Female,2598
2020,Sabah,Sandakan,Male,2711
2020,Sabah,Sandakan,Female,2262
2021,Sabah,Sandakan,Male,2147
2021,Sabah,Sandakan,Female,1984
2015,Sabah,Kinabatangan,Male,437
2015,Sabah,Kinabatangan,Female,400
2016,Sabah,Kinabatangan,Male,373
2016,Sabah,Kinabatangan,Female,374
2017,Sabah,Kinabatangan,Male,444
2017,Sabah,Kinabatangan,Female,416
2018,Sabah,Kinabatangan,Male,383
2018,Sabah,Kinabatangan,Female,367
2019,Sabah,Kinabatangan,Male,363
2019,Sabah,Kinabatangan,Female,329
2020,Sabah,Kinabatangan,Male,365
2020,Sabah,Kinabatangan,Female,326
2021,Sabah,Kinabatangan,Male,355
2021,Sabah,Kinabatangan,Female,290
2015,Sabah,Beluran,Male,749
2015,Sabah,Beluran,Female,649
2016,Sabah,Beluran,Male,701
2016,Sabah,Beluran,Female,694
2017,Sabah,Beluran,Male,681
2017,Sabah,Beluran,Female,634
2018,Sabah,Beluran,Male,715
2018,Sabah,Beluran,Female,656
2019,Sabah,Beluran,Male,715
2019,Sabah,Beluran,Female,656
2020,Sabah,Beluran,Male,694
2020,Sabah,Beluran,Female,675
2021,Sabah,Beluran,Male,435
2021,Sabah,Beluran,Female,356
2015,Sabah,Kota Kinabalu,Male,4004
2015,Sabah,Kota Kinabalu,Female,3779
2016,Sabah,Kota Kinabalu,Male,3732
2016,Sabah,Kota Kinabalu,Female,3476
2017,Sabah,Kota Kinabalu,Male,3754
2017,Sabah,Kota Kinabalu,Female,3501
2018,Sabah,Kota Kinabalu,Male,3805
2018,Sabah,Kota Kinabalu,Female,3609
2019,Sabah,Kota Kinabalu,Male,3880
2019,Sabah,Kota Kinabalu,Female,3595
2020,Sabah,Kota Kinabalu,Male,3446
2020,Sabah,Kota Kinabalu,Female,3253
2021,Sabah,Kota Kinabalu,Male,2423
2021,Sabah,Kota Kinabalu,Female,2261
2015,Sabah,Ranau,Male,1010
2015,Sabah,Ranau,Female,982
2016,Sabah,Ranau,Male,999
2016,Sabah,Ranau,Female,942
2017,Sabah,Ranau,Male,1010
2017,Sabah,Ranau,Female,953
2018,Sabah,Ranau,Male,987
2018,Sabah,Ranau,Female,960
2019,Sabah,Ranau,Male,991
2019,Sabah,Ranau,Female,848
2020,Sabah,Ranau,Male,911
2020,Sabah,Ranau,Female,844
2021,Sabah,Ranau,Male,711
2021,Sabah,Ranau,Female,708
2015,Sabah,Kota Belud,Male,1090
2015,Sabah,Kota Belud,Female,1018
2016,Sabah,Kota Belud,Male,1040
2016,Sabah,Kota Belud,Female,1033
2017,Sabah,Kota Belud,Male,1128
2017,Sabah,Kota Belud,Female,1033
2018,Sabah,Kota Belud,Male,1061
2018,Sabah,Kota Belud,Female,967
2019,Sabah,Kota Belud,Male,1008
2019,Sabah,Kota Belud,Female,889
2020,Sabah,Kota Belud,Male,1041
2020,Sabah,Kota Belud,Female,913
2021,Sabah,Kota Belud,Male,829
2021,Sabah,Kota Belud,Female,789
2015,Sabah,Tuaran,Male,1313
2015,Sabah,Tuaran,Female,1208
2016,Sabah,Tuaran,Male,1370
2016,Sabah,Tuaran,Female,1166
2017,Sabah,Tuaran,Male,1399
2017,Sabah,Tuaran,Female,1283
2018,Sabah,Tuaran,Male,1359
2018,Sabah,Tuaran,Female,1251
2019,Sabah,Tuaran,Male,1340
2019,Sabah,Tuaran,Female,1232
2020,Sabah,Tuaran,Male,1266
2020,Sabah,Tuaran,Female,1177
2021,Sabah,Tuaran,Male,980
2021,Sabah,Tuaran,Female,859
2015,Sabah,Penampang,Male,1102
2015,Sabah,Penampang,Female,952
2016,Sabah,Penampang,Male,1012
2016,Sabah,Penampang,Female,898
2017,Sabah,Penampang,Male,1046
2017,Sabah,Penampang,Female,986
2018,Sabah,Penampang,Male,964
2018,Sabah,Penampang,Female,964
2019,Sabah,Penampang,Male,1084
2019,Sabah,Penampang,Female,928
2020,Sabah,Penampang,Male,971
2020,Sabah,Penampang,Female,871
2021,Sabah,Penampang,Male,772
2021,Sabah,Penampang,Female,746
2015,Sabah,Papar,Male,1266
2015,Sabah,Papar,Female,1218
2016,Sabah,Papar,Male,1212
2016,Sabah,Papar,Female,1173
2017,Sabah,Papar,Male,1341
2017,Sabah,Papar,Female,1186
2018,Sabah,Papar,Male,1325
2018,Sabah,Papar,Female,1206
2019,Sabah,Papar,Male,1264
2019,Sabah,Papar,Female,1178
2020,Sabah,Papar,Male,1196
2020,Sabah,Papar,Female,1129
2021,Sabah,Papar,Male,1085
2021,Sabah,Papar,Female,1026
2015,Sabah,Kudat,Male,1169
2015,Sabah,Kudat,Female,1043
2016,Sabah,Kudat,Male,959
2016,Sabah,Kudat,Female,916
2017,Sabah,Kudat,Male,1060
2017,Sabah,Kudat,Female,911
2018,Sabah,Kudat,Male,1052
2018,Sabah,Kudat,Female,938
2019,Sabah,Kudat,Male,963
2019,Sabah,Kudat,Female,911
2020,Sabah,Kudat,Male,925
2020,Sabah,Kudat,Female,838
2021,Sabah,Kudat,Male,727
2021,Sabah,Kudat,Female,704
2015,Sabah,Kota Marudu,Male,805
2015,Sabah,Kota Marudu,Female,822
2016,Sabah,Kota Marudu,Male,793
2016,Sabah,Kota Marudu,Female,744
2017,Sabah,Kota Marudu,Male,836
2017,Sabah,Kota Marudu,Female,775
2018,Sabah,Kota Marudu,Male,899
2018,Sabah,Kota Marudu,Female,795
2019,Sabah,Kota Marudu,Male,860
2019,Sabah,Kota Marudu,Female,814
2020,Sabah,Kota Marudu,Male,891
2020,Sabah,Kota Marudu,Female,804
2021,Sabah,Kota Marudu,Male,795
2021,Sabah,Kota Marudu,Female,770
2015,Sabah,Pitas,Male,516
2015,Sabah,Pitas,Female,477
2016,Sabah,Pitas,Male,477
2016,Sabah,Pitas,Female,429
2017,Sabah,Pitas,Male,473
2017,Sabah,Pitas,Female,448
2018,Sabah,Pitas,Male,569
2018,Sabah,Pitas,Female,502
2019,Sabah,Pitas,Male,531
2019,Sabah,Pitas,Female,516
2020,Sabah,Pitas,Male,491
2020,Sabah,Pitas,Female,432
2021,Sabah,Pitas,Male,410
2021,Sabah,Pitas,Female,392
2015,Sabah,Beaufort,Male,708
2015,Sabah,Beaufort,Female,675
2016,Sabah,Beaufort,Male,724
2016,Sabah,Beaufort,Female,648
2017,Sabah,Beaufort,Male,726
2017,Sabah,Beaufort,Female,666
2018,Sabah,Beaufort,Male,702
2018,Sabah,Beaufort,Female,624
2019,Sabah,Beaufort,Male,702
2019,Sabah,Beaufort,Female,624
2020,Sabah,Beaufort,Male,712
2020,Sabah,Beaufort,Female,607
2021,Sabah,Beaufort,Male,557
2021,Sabah,Beaufort,Female,517
2015,Sabah,Kuala Penyu,Male,195
2015,Sabah,Kuala Penyu,Female,181
2016,Sabah,Kuala Penyu,Male,212
2016,Sabah,Kuala Penyu,Female,189
2017,Sabah,Kuala Penyu,Male,206
2017,Sabah,Kuala Penyu,Female,201
2018,Sabah,Kuala Penyu,Male,191
2018,Sabah,Kuala Penyu,Female,192
2019,Sabah,Kuala Penyu,Male,226
2019,Sabah,Kuala Penyu,Female,196
2020,Sabah,Kuala Penyu,Male,187
2020,Sabah,Kuala Penyu,Female,174
2021,Sabah,Kuala Penyu,Male,151
2021,Sabah,Kuala Penyu,Female,174
2015,Sabah,Sipitang,Male,397
2015,Sabah,Sipitang,Female,378
2016,Sabah,Sipitang,Male,383
2016,Sabah,Sipitang,Female,333
2017,Sabah,Sipitang,Male,373
2017,Sabah,Sipitang,Female,316
2018,Sabah,Sipitang,Male,381
2018,Sabah,Sipitang,Female,308
2019,Sabah,Sipitang,Male,350
2019,Sabah,Sipitang,Female,331
2020,Sabah,Sipitang,Male,342
2020,Sabah,Sipitang,Female,291
2021,Sabah,Sipitang,Male,294
2021,Sabah,Sipitang,Female,278
2015,Sabah,Tenom,Male,543
2015,Sabah,Tenom,Female,501
2016,Sabah,Tenom,Male,533
2016,Sabah,Tenom,Female,480
2017,Sabah,Tenom,Male,555
2017,Sabah,Tenom,Female,526
2018,Sabah,Tenom,Male,576
2018,Sabah,Tenom,Female,480
2019,Sabah,Tenom,Male,554
2019,Sabah,Tenom,Female,439
2020,Sabah,Tenom,Male,522
2020,Sabah,Tenom,Female,468
2021,Sabah,Tenom,Male,458
2021,Sabah,Tenom,Female,421
2015,Sabah,Nabawan,Male,423
2015,Sabah,Nabawan,Female,341
2016,Sabah,Nabawan,Male,374
2016,Sabah,Nabawan,Female,322
2017,Sabah,Nabawan,Male,375
2017,Sabah,Nabawan,Female,351
2018,Sabah,Nabawan,Male,376
2018,Sabah,Nabawan,Female,368
2019,Sabah,Nabawan,Male,394
2019,Sabah,Nabawan,Female,365
2020,Sabah,Nabawan,Male,355
2020,Sabah,Nabawan,Female,301
2021,Sabah,Nabawan,Male,350
2021,Sabah,Nabawan,Female,349
2015,Sabah,Keningau,Male,1671
2015,Sabah,Keningau,Female,1451
2016,Sabah,Keningau,Male,1524
2016,Sabah,Keningau,Female,1474
2017,Sabah,Keningau,Male,1551
2017,Sabah,Keningau,Female,1395
2018,Sabah,Keningau,Male,1591
2018,Sabah,Keningau,Female,1444
2019,Sabah,Keningau,Male,1571
2019,Sabah,Keningau,Female,1424
2020,Sabah,Keningau,Male,1436
2020,Sabah,Keningau,Female,1382
2021,Sabah,Keningau,Male,1457
2021,Sabah,Keningau,Female,1324
2015,Sabah,Tambunan,Male,359
2015,Sabah,Tambunan,Female,346
2016,Sabah,Tambunan,Male,352
2016,Sabah,Tambunan,Female,350
2017,Sabah,Tambunan,Male,367
2017,Sabah,Tambunan,Female,348
2018,Sabah,Tambunan,Male,397
2018,Sabah,Tambunan,Female,389
2019,Sabah,Tambunan,Male,378
2019,Sabah,Tambunan,Female,349
2020,Sabah,Tambunan,Male,372
2020,Sabah,Tambunan,Female,366
2021,Sabah,Tambunan,Male,330
2021,Sabah,Tambunan,Female,299
2015,Sabah,Kunak,Male,584
2015,Sabah,Kunak,Female,491
2016,Sabah,Kunak,Male,509
2016,Sabah,Kunak,Female,457
2017,Sabah,Kunak,Male,454
2017,Sabah,Kunak,Female,464
2018,Sabah,Kunak,Male,468
2018,Sabah,Kunak,Female,456
2019,Sabah,Kunak,Male,628
2019,Sabah,Kunak,Female,556
2020,Sabah,Kunak,Male,507
2020,Sabah,Kunak,Female,468
2021,Sabah,Kunak,Male,477
2021,Sabah,Kunak,Female,437
2015,Sabah,Tongod,Male,189
2015,Sabah,Tongod,Female,199
2016,Sabah,Tongod,Male,220
2016,Sabah,Tongod,Female,198
2017,Sabah,Tongod,Male,186
2017,Sabah,Tongod,Female,208
2018,Sabah,Tongod,Male,214
2018,Sabah,Tongod,Female,200
2019,Sabah,Tongod,Male,226
2019,Sabah,Tongod,Female,190
2020,Sabah,Tongod,Male,183
2020,Sabah,Tongod,Female,181
2021,Sabah,Tongod,Male,172
2021,Sabah,Tongod,Female,181
2015,Sabah,Putatan,Male,200
2015,Sabah,Putatan,Female,189
2016,Sabah,Putatan,Male,269
2016,Sabah,Putatan,Female,247
2017,Sabah,Putatan,Male,188
2017,Sabah,Putatan,Female,195
2018,Sabah,Putatan,Male,254
2018,Sabah,Putatan,Female,213
2019,Sabah,Putatan,Male,254
2019,Sabah,Putatan,Female,230
2020,Sabah,Putatan,Male,266
2020,Sabah,Putatan,Female,249
2021,Sabah,Putatan,Male,417
2021,Sabah,Putatan,Female,395
2021,Sabah,Telupid,Male,177
2021,Sabah,Telupid,Female,158
2021,Sabah,Kalabakan,Male,56
2021,Sabah,Kalabakan,Female,43
2015,Sarawak,Kuching,Male,4703
2015,Sarawak,Kuching,Female,4480
2016,Sarawak,Kuching,Male,4487
2016,Sarawak,Kuching,Female,4222
2017,Sarawak,Kuching,Male,4579
2017,Sarawak,Kuching,Female,4225
2018,Sarawak,Kuching,Male,4297
2018,Sarawak,Kuching,Female,4098
2019,Sarawak,Kuching,Male,4310
2019,Sarawak,Kuching,Female,4121
2020,Sarawak,Kuching,Male,4169
2020,Sarawak,Kuching,Female,3828
2021,Sarawak,Kuching,Male,3662
2021,Sarawak,Kuching,Female,3481
2015,Sarawak,Bau,Male,476
2015,Sarawak,Bau,Female,458
2016,Sarawak,Bau,Male,468
2016,Sarawak,Bau,Female,429
2017,Sarawak,Bau,Male,463
2017,Sarawak,Bau,Female,419
2018,Sarawak,Bau,Male,390
2018,Sarawak,Bau,Female,432
2019,Sarawak,Bau,Male,424
2019,Sarawak,Bau,Female,408
2020,Sarawak,Bau,Male,431
2020,Sarawak,Bau,Female,433
2021,Sarawak,Bau,Male,411
2021,Sarawak,Bau,Female,370
2015,Sarawak,Lundu,Male,328
2015,Sarawak,Lundu,Female,284
2016,Sarawak,Lundu,Male,314
2016,Sarawak,Lundu,Female,277
2017,Sarawak,Lundu,Male,324
2017,Sarawak,Lundu,Female,316
2018,Sarawak,Lundu,Male,317
2018,Sarawak,Lundu,Female,266
2019,Sarawak,Lundu,Male,326
2019,Sarawak,Lundu,Female,276
2020,Sarawak,Lundu,Male,319
2020,Sarawak,Lundu,Female,281
2021,Sarawak,Lundu,Male,279
2021,Sarawak,Lundu,Female,249
2015,Sarawak,Samarahan,Male,743
2015,Sarawak,Samarahan,Female,739
2016,Sarawak,Samarahan,Male,715
2016,Sarawak,Samarahan,Female,675
2017,Sarawak,Samarahan,Male,756
2017,Sarawak,Samarahan,Female,709
2018,Sarawak,Samarahan,Male,767
2018,Sarawak,Samarahan,Female,686
2019,Sarawak,Samarahan,Male,731
2019,Sarawak,Samarahan,Female,685
2020,Sarawak,Samarahan,Male,718
2020,Sarawak,Samarahan,Female,692
2021,Sarawak,Samarahan,Male,735
2021,Sarawak,Samarahan,Female,693
2015,Sarawak,Serian,Male,869
2015,Sarawak,Serian,Female,830
2016,Sarawak,Serian,Male,831
2016,Sarawak,Serian,Female,737
2017,Sarawak,Serian,Male,917
2017,Sarawak,Serian,Female,787
2018,Sarawak,Serian,Male,816
2018,Sarawak,Serian,Female,739
2019,Sarawak,Serian,Male,824
2019,Sarawak,Serian,Female,741
2020,Sarawak,Serian,Male,780
2020,Sarawak,Serian,Female,753
2021,Sarawak,Serian,Male,650
2021,Sarawak,Serian,Female,652
2015,Sarawak,Simunjan,Male,425
2015,Sarawak,Simunjan,Female,370
2016,Sarawak,Simunjan,Male,405
2016,Sarawak,Simunjan,Female,382
2017,Sarawak,Simunjan,Male,364
2017,Sarawak,Simunjan,Female,367
2018,Sarawak,Simunjan,Male,387
2018,Sarawak,Simunjan,Female,352
2019,Sarawak,Simunjan,Male,397
2019,Sarawak,Simunjan,Female,340
2020,Sarawak,Simunjan,Male,381
2020,Sarawak,Simunjan,Female,343
2021,Sarawak,Simunjan,Male,365
2021,Sarawak,Simunjan,Female,374
2015,Sarawak,Sri Aman,Male,423
2015,Sarawak,Sri Aman,Female,346
2016,Sarawak,Sri Aman,Male,401
2016,Sarawak,Sri Aman,Female,354
2017,Sarawak,Sri Aman,Male,407
2017,Sarawak,Sri Aman,Female,398
2018,Sarawak,Sri Aman,Male,430
2018,Sarawak,Sri Aman,Female,360
2019,Sarawak,Sri Aman,Male,430
2019,Sarawak,Sri Aman,Female,412
2020,Sarawak,Sri Aman,Male,415
2020,Sarawak,Sri Aman,Female,351
2021,Sarawak,Sri Aman,Male,414
2021,Sarawak,Sri Aman,Female,373
2015,Sarawak,Lubok Antu,Male,203
2015,Sarawak,Lubok Antu,Female,182
2016,Sarawak,Lubok Antu,Male,194
2016,Sarawak,Lubok Antu,Female,183
2017,Sarawak,Lubok Antu,Male,169
2017,Sarawak,Lubok Antu,Female,178
2018,Sarawak,Lubok Antu,Male,175
2018,Sarawak,Lubok Antu,Female,166
2019,Sarawak,Lubok Antu,Male,190
2019,Sarawak,Lubok Antu,Female,183
2020,Sarawak,Lubok Antu,Male,177
2020,Sarawak,Lubok Antu,Female,161
2021,Sarawak,Lubok Antu,Male,155
2021,Sarawak,Lubok Antu,Female,138
2015,Sarawak,Betong,Male,629
2015,Sarawak,Betong,Female,616
2016,Sarawak,Betong,Male,596
2016,Sarawak,Betong,Female,563
2017,Sarawak,Betong,Male,639
2017,Sarawak,Betong,Female,565
2018,Sarawak,Betong,Male,564
2018,Sarawak,Betong,Female,550
2019,Sarawak,Betong,Male,596
2019,Sarawak,Betong,Female,532
2020,Sarawak,Betong,Male,571
2020,Sarawak,Betong,Female,537
2021,Sarawak,Betong,Male,384
2021,Sarawak,Betong,Female,316
2015,Sarawak,Saratok,Male,446
2015,Sarawak,Saratok,Female,440
2016,Sarawak,Saratok,Male,439
2016,Sarawak,Saratok,Female,423
2017,Sarawak,Saratok,Male,429
2017,Sarawak,Saratok,Female,435
2018,Sarawak,Saratok,Male,441
2018,Sarawak,Saratok,Female,441
2019,Sarawak,Saratok,Male,413
2019,Sarawak,Saratok,Female,407
2020,Sarawak,Saratok,Male,453
2020,Sarawak,Saratok,Female,387
2021,Sarawak,Saratok,Male,171
2021,Sarawak,Saratok,Female,188
2015,Sarawak,Sarikei,Male,475
2015,Sarawak,Sarikei,Female,441
2016,Sarawak,Sarikei,Male,427
2016,Sarawak,Sarikei,Female,435
2017,Sarawak,Sarikei,Male,463
2017,Sarawak,Sarikei,Female,414
2018,Sarawak,Sarikei,Male,463
2018,Sarawak,Sarikei,Female,420
2019,Sarawak,Sarikei,Male,462
2019,Sarawak,Sarikei,Female,420
2020,Sarawak,Sarikei,Male,404
2020,Sarawak,Sarikei,Female,412
2021,Sarawak,Sarikei,Male,370
2021,Sarawak,Sarikei,Female,316
2015,Sarawak,Meradong,Male,225
2015,Sarawak,Meradong,Female,199
2016,Sarawak,Meradong,Male,230
2016,Sarawak,Meradong,Female,211
2017,Sarawak,Meradong,Male,211
2017,Sarawak,Meradong,Female,194
2018,Sarawak,Meradong,Male,230
2018,Sarawak,Meradong,Female,202
2019,Sarawak,Meradong,Male,183
2019,Sarawak,Meradong,Female,193
2020,Sarawak,Meradong,Male,198
2020,Sarawak,Meradong,Female,169
2021,Sarawak,Meradong,Male,192
2021,Sarawak,Meradong,Female,161
2015,Sarawak,Daro,Male,248
2015,Sarawak,Daro,Female,227
2016,Sarawak,Daro,Male,238
2016,Sarawak,Daro,Female,237
2017,Sarawak,Daro,Male,257
2017,Sarawak,Daro,Female,247
2018,Sarawak,Daro,Male,257
2018,Sarawak,Daro,Female,255
2019,Sarawak,Daro,Male,257
2019,Sarawak,Daro,Female,246
2020,Sarawak,Daro,Male,243
2020,Sarawak,Daro,Female,242
2021,Sarawak,Daro,Male,200
2021,Sarawak,Daro,Female,197
2015,Sarawak,Julau,Male,287
2015,Sarawak,Julau,Female,235
2016,Sarawak,Julau,Male,259
2016,Sarawak,Julau,Female,214
2017,Sarawak,Julau,Male,233
2017,Sarawak,Julau,Female,208
2018,Sarawak,Julau,Male,150
2018,Sarawak,Julau,Female,169
2019,Sarawak,Julau,Male,136
2019,Sarawak,Julau,Female,141
2020,Sarawak,Julau,Male,126
2020,Sarawak,Julau,Female,125
2021,Sarawak,Julau,Male,124
2021,Sarawak,Julau,Female,120
2015,Sarawak,Sibu,Male,2127
2015,Sarawak,Sibu,Female,1931
2016,Sarawak,Sibu,Male,2089
2016,Sarawak,Sibu,Female,1945
2017,Sarawak,Sibu,Male,1820
2017,Sarawak,Sibu,Female,1615
2018,Sarawak,Sibu,Male,1777
2018,Sarawak,Sibu,Female,1687
2019,Sarawak,Sibu,Male,1821
2019,Sarawak,Sibu,Female,1638
2020,Sarawak,Sibu,Male,1720
2020,Sarawak,Sibu,Female,1516
2021,Sarawak,Sibu,Male,1301
2021,Sarawak,Sibu,Female,1304
2015,Sarawak,Dalat,Male,206
2015,Sarawak,Dalat,Female,171
2016,Sarawak,Dalat,Male,199
2016,Sarawak,Dalat,Female,184
2017,Sarawak,Dalat,Male,184
2017,Sarawak,Dalat,Female,185
2018,Sarawak,Dalat,Male,188
2018,Sarawak,Dalat,Female,179
